,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,San Vicente,-26.6167,-54.1333,57.81,76,0,2.55,AR,1619935121
1,Rikitea,-23.1203,-134.9692,77.0,76,89,14.7,PF,1619935121
2,Dikson,73.5069,80.5464,27.82,86,98,4.9,RU,1619935122
3,Punta Arenas,-53.15,-70.9167,39.2,81,75,14.97,CL,1619935122
4,Talovaya,51.1144,40.73,59.32,64,95,6.24,RU,1619935123
5,Albany,42.6001,-73.9662,46.0,69,100,3.47,US,1619934981
6,Butaritari,3.0707,172.7902,83.91,73,99,12.86,KI,1619935123
7,San Quintín,30.4833,-115.95,58.37,87,100,11.1,MX,1619935124
8,Faya,18.3851,42.4509,68.0,34,0,2.39,SA,1619935124
9,Ambon City,-3.6954,128.1814,82.4,83,40,4.61,ID,1619935125
10,Arraial do Cabo,-22.9661,-42.0278,72.45,69,100,8.23,BR,1619935125
11,Vestmannaeyjar,63.4427,-20.2734,37.9,66,68,11.97,IS,1619935125
12,Hobart,-42.8794,147.3294,70.0,68,0,6.91,AU,1619935126
13,Leh,34.1667,77.5833,48.33,37,13,1.12,IN,1619935126
14,Sørland,67.667,12.6934,35.89,66,100,14.92,NO,1619935127
15,Puerto Baquerizo Moreno,-0.9,-89.6,74.01,80,14,8.39,EC,1619935127
16,Radviliškis,55.8167,23.5333,39.2,81,0,9.22,LT,1619935128
17,Port Hardy,50.6996,-127.4199,46.4,87,20,8.05,CA,1619935128
18,Talnakh,69.4865,88.3972,28.11,94,98,2.89,RU,1619935128
19,Morehead,37.2711,-87.1764,60.01,94,1,7.0,US,1619935129
20,Limbe,4.0242,9.2149,77.0,94,40,3.44,CM,1619935129
21,Vaini,-21.2,-175.2,75.2,78,75,11.5,TO,1619935130
22,Bluff,-46.6,168.3333,55.99,88,96,11.99,NZ,1619935130
23,Puerto Ayora,-0.7393,-90.3518,73.0,95,46,5.19,EC,1619935131
24,Acarí,-15.4311,-74.6158,69.42,78,18,0.87,PE,1619935131
25,Vostok,46.4856,135.8833,42.85,57,100,13.76,RU,1619935132
26,Hasaki,35.7333,140.8333,64.4,48,75,11.5,JP,1619935132
27,Nikolskoye,59.7035,30.7861,42.01,70,0,4.47,RU,1619935132
28,Tasiilaq,65.6145,-37.6368,23.0,93,10,3.44,GL,1619935133
29,Karratha,-20.7377,116.8463,88.97,38,11,13.38,AU,1619935133
30,Nuuk,64.1835,-51.7216,35.6,80,20,11.5,GL,1619935134
31,Kashgar,39.4547,75.9797,78.8,14,40,13.42,CN,1619935134
32,Avarua,-21.2078,-159.775,75.2,100,90,6.91,CK,1619934880
33,Saint-Prosper,46.2117,-70.4811,39.2,70,87,1.14,CA,1619935135
34,Kaitangata,-46.2817,169.8464,59.0,58,47,5.55,NZ,1619935135
35,Kapaa,22.0752,-159.319,75.2,83,40,16.11,US,1619935136
36,Flin Flon,54.7682,-101.865,31.75,86,95,5.55,CA,1619935136
37,Busselton,-33.65,115.3333,60.01,82,60,1.99,AU,1619935137
38,East London,-33.0153,27.9116,55.4,82,0,6.91,ZA,1619935137
39,Saint Paul Harbor,57.79,-152.4072,42.8,75,90,14.97,US,1619935137
40,Vila Velha,-20.3297,-40.2925,73.99,100,75,3.44,BR,1619935138
41,Hermanus,-34.4187,19.2345,57.0,74,70,5.99,ZA,1619935138
42,Upernavik,72.7868,-56.1549,18.39,73,9,5.79,GL,1619935139
43,Cayenne,4.9333,-52.3333,75.2,94,77,3.44,GF,1619935139
44,Cherskiy,68.75,161.3,23.7,82,19,3.89,RU,1619935139
45,Okha,53.5739,142.9478,32.74,85,100,14.81,RU,1619935140
46,Atuona,-9.8,-139.0333,79.65,70,8,8.93,PF,1619935140
47,Port Alfred,-33.5906,26.891,62.29,60,0,5.44,ZA,1619935141
48,Nemuro,43.3236,145.575,41.0,65,75,11.5,JP,1619935141
49,Lebu,-37.6167,-73.65,55.33,97,100,8.28,CL,1619935141
50,Udachny,66.4167,112.4,34.02,100,100,7.16,RU,1619935142
51,Vardø,70.3705,31.1107,32.72,60,99,13.42,NO,1619935142
52,Hargeisa,9.56,44.065,73.83,63,47,10.0,SO,1619935143
53,Mountain Home,43.133,-115.6912,53.6,66,1,11.5,US,1619935143
54,Balkhash,46.844,74.9804,57.2,19,0,29.08,KZ,1619935143
55,Prome,18.8167,95.2167,100.51,30,1,4.54,MM,1619935144
56,Coffs Harbour,-30.3,153.1333,71.6,68,100,4.61,AU,1619935144
57,Mataura,-46.1927,168.8643,55.99,88,80,11.99,NZ,1619935145
58,Kununurra,-15.7667,128.7333,93.2,29,0,11.5,AU,1619935145
59,Half Moon Bay,37.4636,-122.4286,53.6,87,75,21.85,US,1619935145
60,Kiryat Gat,31.61,34.7642,79.0,36,5,1.01,IL,1619935146
61,Tirumullaivāsal,11.2333,79.8333,90.59,57,24,11.34,IN,1619935146
62,Ushuaia,-54.8,-68.3,35.6,80,40,6.91,AR,1619935021
63,Yatou,37.15,122.3833,60.75,37,0,10.11,CN,1619935147
64,Kampene,-3.6,26.6667,70.38,97,100,1.9,CD,1619935147
65,Bredasdorp,-34.5322,20.0403,39.2,93,4,3.44,ZA,1619935148
66,Quatre Cocos,-20.2078,57.7625,82.99,83,40,9.98,MU,1619935148
67,Taoudenni,22.6783,-3.9836,79.88,48,94,12.01,ML,1619935149
68,Lüderitz,-26.6481,15.1594,74.35,28,0,16.75,NA,1619935149
69,Qaanaaq,77.484,-69.3632,25.86,55,67,8.5,GL,1619935149
70,Grajaú,-5.8194,-46.1386,71.44,88,97,0.89,BR,1619935150
71,Mahébourg,-20.4081,57.7,80.6,83,40,10.16,MU,1619935150
72,Tuktoyaktuk,69.4541,-133.0374,15.8,100,90,2.3,CA,1619935151
73,Jamestown,42.097,-79.2353,55.4,41,1,18.41,US,1619935151
74,Kāvali,14.9167,79.9833,93.76,48,0,14.72,IN,1619935151
75,Westport,41.1415,-73.3579,53.6,66,75,8.05,US,1619935152
76,New Norfolk,-42.7826,147.0587,70.0,54,100,1.66,AU,1619935152
77,Beisfjord,68.3751,17.5988,32.0,86,90,2.3,NO,1619935153
78,Yellowknife,62.456,-114.3525,24.8,58,1,8.05,CA,1619935153
79,Chegdomyn,51.1167,133.0167,49.35,52,98,5.59,RU,1619935154
80,Qaryat Sulūq,31.6682,20.2521,86.56,13,54,14.34,LY,1619935154
81,Hilo,19.7297,-155.09,73.4,83,90,4.61,US,1619935154
82,Wajima,37.4,136.9,48.2,87,75,6.91,JP,1619935155
83,Cape Town,-33.9258,18.4232,61.0,93,0,3.44,ZA,1619935155
